Season,AvgMaxTemp,AvgMinTemp,TotalPrecip,TotalSnowfall,Total_Days_6in_Base,MaxRolling5Year,MinRolling5Year
1957,27.055555555555557,9.022222222222222,1.3500000000000003,15.699999999999994,0,26.13973137973141,9.448058608058606
1958,28.61111111111111,13.866666666666667,0.69,5.800000000000001,0,26.495286935286963,9.848058608058604
1959,23.288888888888888,5.566666666666666,0.9300000000000002,10.099999999999998,0,25.179731379731408,8.548058608058605
1960,29.285714285714285,14.417582417582418,2.18,15.7,4,26.07242979242982,9.449352869352866
1961,26.833333333333332,6.977777777777778,1.7200000000000002,14.999999999999996,3,27.014920634920664,9.970183150183148
1962,20.233333333333334,2.411111111111111,4.219999999999998,50.50000000000002,59,25.65047619047622,8.647960927960927
1963,20.677777777777777,1.8111111111111111,1.1300000000000003,13.599999999999998,0,24.06380952380955,6.236849816849815
1964,26.791208791208792,8.835164835164836,1.1300000000000001,13.6,0,24.76427350427353,6.8905494505494485
1965,21.366666666666667,3.011111111111111,3.1399999999999997,30.299999999999994,24,23.18046398046401,4.6092551892551885
1966,24.033333333333335,7.688888888888889,3.729999999999999,19.899999999999995,27,22.62046398046401,4.751477411477411
1967,23.433333333333334,4.5,6.239999999999998,71.69999999999997,62,23.260463980464007,5.169255189255188
1968,25.67032967032967,8.516483516483516,1.2900000000000003,15.200000000000001,4,24.25897435897439,6.51032967032967
1969,22.933333333333334,7.144444444444445,4.569999999999999,55.60000000000002,71,23.487399267399297,6.172185592185591
1970,22.533333333333335,4.788888888888889,2.690000000000001,47.300000000000004,84,23.720732600732628,6.527741147741146
1971,21.966666666666665,5.644444444444445,3.389999999999999,39.3,52,23.307399267399298,6.118852258852257
1972,20.13186813186813,2.791208791208791,2.0300000000000007,32.60000000000001,72,22.647106227106256,5.777094017094015
1973,24.3,8.777777777777779,3.3299999999999996,38.2,30,22.373040293040326,5.829352869352867
1974,23.266666666666666,6.9,2.33,36.099999999999994,63,22.439706959706996,5.780463980463978
1975,25.855555555555554,10.533333333333333,3.9599999999999986,42.5,54,23.10415140415144,6.929352869352866
1976,28.626373626373628,11.45054945054945,2.25,23.500000000000004,41,24.436092796092833,8.090573870573866
1977,21.488888888888887,2.1555555555555554,2.09,23.5,34,24.707496947496985,7.963443223443221
1978,18.57777777777778,2.3333333333333335,1.7700000000000002,25.599999999999998,57,23.56305250305254,6.674554334554332
1979,18.0,0.8222222222222222,3.36,42.800000000000004,90,22.509719169719208,5.458998778998778
1980,27.13186813186813,10.67032967032967,1.9400000000000004,23.399999999999995,8,22.764981684981723,5.486398046398046
1981,29.2,11.311111111111112,2.6799999999999984,18.400000000000002,6,22.879706959706994,5.458510378510377
1982,20.11111111111111,3.3444444444444446,3.799999999999999,64.4,69,22.60415140415144,5.696288156288155
1983,30.72222222222222,17.133333333333333,6.13,33.300000000000004,58,25.03304029304033,8.656288156288154
1984,21.373626373626372,6.736263736263736,4.05,41.1,79,25.707765567765602,9.839096459096456
1985,23.788888888888888,5.7555555555555555,3.6100000000000003,33.6,36,25.039169719169756,8.856141636141633
1986,21.477777777777778,5.566666666666666,2.94,36.1,90,23.494725274725308,7.7072527472527455
1987,33.56666666666667,17.733333333333334,1.07,10.899999999999997,0,26.18583638583642,10.585030525030524
1988,24.494505494505493,8.395604395604396,2.92,31.500000000000004,30,24.940293040293074,8.837484737484736
1989,26.38888888888889,7.644444444444445,2.23,30.500000000000007,17,25.94334554334558,9.019120879120878
1990,29.011111111111113,11.088888888888889,1.2900000000000003,18.799999999999997,2,26.987789987790023,10.085787545787545
1991,26.88888888888889,8.511111111111111,2.5299999999999994,32.400000000000006,26,28.070012210012244,10.674676434676433
1992,30.824175824175825,16.307692307692307,2.2800000000000002,17.599999999999998,80,27.521514041514074,10.389548229548229
1993,25.544444444444444,9.755555555555556,2.69,26.5,39,27.731501831501866,10.661538461538461
1994,21.41111111111111,5.033333333333333,2.5000000000000004,40.80000000000002,37,26.735946275946315,10.139316239316239
1995,28.488888888888887,13.066666666666666,1.1400000000000001,12.8,4,26.63150183150187,10.534871794871794
1996,23.912087912087912,7.450549450549451,3.2599999999999993,31.799999999999997,52,26.03614163614167,10.32275946275946
1997,22.433333333333334,6.444444444444445,3.76,41.900000000000006,86,24.357973137973175,8.350109890109888
1998,32.37777777777778,19.144444444444446,2.7499999999999982,24.800000000000008,27,25.72463980463984,10.227887667887666
1999,29.68888888888889,13.088888888888889,3.5299999999999994,40.4,28,27.380195360195398,11.838998778998777
2000,31.24175824175824,14.758241758241759,2.31,33.199999999999996,37,27.930769230769272,12.177313797313797
2001,21.122222222222224,5.266666666666667,3.7699999999999982,56.10000000000002,75,27.372796092796136,11.74053724053724
2002,34.01111111111111,19.61111111111111,1.61,20.6,5,29.68835164835169,14.373870573870573
2003,27.233333333333334,11.144444444444444,0.9800000000000002,18.799999999999997,11,28.659462759462805,12.773870573870573
2004,25.978021978021978,12.417582417582418,1.94,46.5,37,27.91728937728942,12.63960927960928
2005,28.833333333333332,13.877777777777778,2.6100000000000003,18.4,4,27.43560439560444,12.463516483516484
2006,29.266666666666666,16.233333333333334,2.0000000000000004,18.9,11,29.06449328449333,14.656849816849817
2007,27.877777777777776,14.1,3.8099999999999996,22.4,4,27.837826617826657,13.554627594627593
2008,22.582417582417584,7.395604395604396,2.0300000000000002,24.900000000000002,23,26.907643467643503,12.804859584859582
2009,22.788888888888888,5.177777777777778,2.65,36.7,24,26.269816849816884,11.356898656898654
2010,23.61111111111111,9.522222222222222,3.0300000000000002,37.900000000000006,77,25.225372405372443,10.485787545787542
2011,22.41111111111111,8.833333333333334,4.909999999999998,66.69999999999999,80,23.85426129426133,9.005787545787543
