,Date,MaxTemp,MinTemp,Precipitation,SnowFall,SnowDepth,Year,Month
61,2023-02-07,35,27,0.0,0.0,9.0,2023,2
62,2023-02-06,36,14,0.09,0.1,9.0,2023,2
63,2023-02-05,31,14,0.0,0.0,10.0,2023,2
64,2023-02-04,28,2,0.0,0.0,10.0,2023,2
65,2023-02-03,4,-13,0.0,0.0,10.0,2023,2
66,2023-02-02,15,-9,0.0,0.0,10.0,2023,2
67,2023-02-01,21,1,0.0,0.0,10.0,2023,2
68,2023-01-31,10,-8,0.0,0.0,10.0,2023,1
69,2023-01-30,2,-8,0.0,0.0,11.0,2023,1
70,2023-01-29,6,-5,0.0,0.0,11.0,2023,1
71,2023-01-28,7,2,0.0,0.0,11.0,2023,1
72,2023-01-27,33,6,0.14,2.2,12.0,2023,1
73,2023-01-26,16,2,0.0,0.0,10.0,2023,1
74,2023-01-25,28,16,0.03,0.7,9.0,2023,1
75,2023-01-24,29,14,0.0,0.0,10.0,2023,1
76,2023-01-23,31,11,0.0,0.0,10.0,2023,1
77,2023-01-22,21,15,0.01,0.1,10.0,2023,1
78,2023-01-21,24,17,0.0,0.0,11.0,2023,1
79,2023-01-20,27,18,0.0,0.0,11.0,2023,1
80,2023-01-19,32,27,0.16,3.5,10.0,2023,1
81,2023-01-18,33,28,0.0,0.0,9.0,2023,1
82,2023-01-17,35,31,0.02,0.0,11.0,2023,1
83,2023-01-16,37,32,0.53,0.7,11.0,2023,1
84,2023-01-15,37,29,0.0,0.0,12.0,2023,1
85,2023-01-14,31,13,0.0,0.0,12.0,2023,1
86,2023-01-13,20,13,0.0,0.0,12.0,2023,1
87,2023-01-12,32,19,0.0,0.0,13.0,2023,1
88,2023-01-11,34,26,0.07,0.0,13.0,2023,1
89,2023-01-10,28,19,0.0,0.0,14.0,2023,1
90,2023-01-09,32,8,0.0,0.0,15.0,2023,1
91,2023-01-08,25,0,0.0,0.0,15.0,2023,1
92,2023-01-07,21,0,0.0,0.0,15.0,2023,1
93,2023-01-06,19,5,0.0,0.0,16.0,2023,1
94,2023-01-05,30,18,0.01,0.2,16.0,2023,1
95,2023-01-04,33,30,0.61,8.8,14.0,2023,1
96,2023-01-03,31,24,0.65,6.0,6.0,2023,1
97,2023-01-02,27,22,0.02,0.1,6.0,2023,1
98,2023-01-01,35,22,0.0,0.0,6.0,2023,1
99,2022-12-31,36,20,0.0,0.0,6.0,2022,12
100,2022-12-30,25,16,0.0,0.0,7.0,2022,12
101,2022-12-29,37,19,0.02,0.4,8.0,2022,12
102,2022-12-28,38,26,0.0,0.0,9.0,2022,12
103,2022-12-27,26,2,0.0,0.0,9.0,2022,12
104,2022-12-26,14,2,0.0,0.0,10.0,2022,12
